club,years_active
Bayern Munich,58
Borussia Dortmund,56
Werder Bremen,58
VfB Stuttgart,56
Borussia Mönchengladbach,55
Hamburger SV,55
Eintracht Frankfurt f,54
Schalke 04,53
Bayer Leverkusen,44
1. FC Köln,50
1. FC Kaiserslautern e,44
Hertha BSC,39
VfL Bochum,36
VfL Wolfsburg,26
1. FC Nürnberg,33
Hannover 96,30
MSV Duisburg,28
SC Freiburg,23
Fortuna Düsseldorf,25
Karlsruher SC,24
Eintracht Braunschweig,21
1860 Munich,20
Mainz 05,17
TSG Hoffenheim,15
Arminia Bielefeld g,19
RB Leipzig,7
FC Augsburg,12
KFC Uerdingen,14
Hansa Rostock,12
FC St. Pauli,9
Waldhof Mannheim,7
Union Berlin,4
Kickers Offenbach,7
Rot-Weiss Essen,7
Energie Cottbus,6
Alemannia Aachen,4
Wattenscheid 09,4
1. FC Saarbrücken,5
Dynamo Dresden h,4
Rot-Weiß Oberhausen,4
Darmstadt 98,4
Wuppertaler SV,3
Borussia Neunkirchen,3
FC 08 Homburg,3
SpVgg Unterhaching,2
Stuttgarter Kickers,2
FC Ingolstadt,2
1. FC Heidenheim,0
SC Paderborn,2
Tennis Borussia Berlin,2
Greuther Fürth,2
SSV Ulm,1
SC Fortuna Köln,1
Preußen Münster,1
Holstein Kiel,0
Blau-Weiß 1890 Berlin,1
Tasmania 1900 Berlin,1
