club,years_active
Bayern Munich,53
Borussia Dortmund,51
Werder Bremen,54
VfB Stuttgart,52
Borussia Mönchengladbach,50
Hamburger SV,54
Eintracht Frankfurt f,49
Schalke 04,49
Bayer Leverkusen,39
1. FC Köln,46
1. FC Kaiserslautern e,44
Hertha BSC,34
VfL Bochum,35
VfL Wolfsburg,21
1. FC Nürnberg,32
Hannover 96,28
MSV Duisburg,28
SC Freiburg,18
Fortuna Düsseldorf,23
Karlsruher SC,24
Eintracht Braunschweig,21
1860 Munich,20
Mainz 05,12
TSG Hoffenheim,10
Arminia Bielefeld g,17
RB Leipzig,2
FC Augsburg,7
KFC Uerdingen,14
Hansa Rostock,12
FC St. Pauli,9
Waldhof Mannheim,7
Union Berlin,1
Kickers Offenbach,7
Rot-Weiss Essen,7
Energie Cottbus,6
Alemannia Aachen,4
Wattenscheid 09,4
1. FC Saarbrücken,5
Dynamo Dresden h,4
Rot-Weiß Oberhausen,4
Darmstadt 98,4
Wuppertaler SV,3
Borussia Neunkirchen,3
FC 08 Homburg,3
SpVgg Unterhaching,2
Stuttgarter Kickers,2
FC Ingolstadt,2
1. FC Heidenheim,0
SC Paderborn,1
Tennis Borussia Berlin,2
Greuther Fürth,1
SSV Ulm,1
SC Fortuna Köln,1
Preußen Münster,1
Holstein Kiel,0
Blau-Weiß 1890 Berlin,1
Tasmania 1900 Berlin,1
